0, 6.18826643302279e-005,2.59144180780357e-005,7.29434980455144e-005,-9.88579172279335e-005,-2.59144180780357e-005,3.9367191479849e-005,-1.34527706498815e-005,-7.29434980455144e-005,3.59682433340435e-005,3.69752536134111e-005,-3.9367191479849e-005,-3.59682433340435e-005,7.53354298498506e-005,9.88579172279335e-005,-2.9584993046848e-005,-6.92729203070708e-005,1.34527706498815e-005,2.9584993046848e-005,-4.30377661820453e-005,-3.69752536134111e-005,6.92729203070708e-005,-3.22976712833799e-005,-7.53354298498506e-005,4.30377661820453e-005,3.22976712833799e-005
500, -4.93716965369685e-006,-4.86248534124716e-006,4.96008884529433e-006,-9.76022569498866e-008,4.86248534124716e-006,2.95319613630523e-006,-7.81568154383825e-006,-4.96008884529433e-006,-7.46832111012801e-008,5.03477054142834e-006,-2.95319613630523e-006,7.46832111012801e-008,2.8785129195619e-006,9.76022569498866e-008,-9.54035693730172e-011,-9.75068630911728e-008,7.81568154383825e-006,9.54035693730172e-011,-7.81577652508137e-006,-5.03477054142834e-006,9.75068630911728e-008,4.93726505726623e-006,-2.8785129195619e-006,7.81577652508137e-006,-4.93726505726623e-006
1000, -3.46437031695397e-005,-3.46410707052288e-005,3.46410765267657e-005,-4.46718185662721e-012,3.46410707052288e-005,2.04719591631947e-007,-3.48457894195743e-005,-3.46410765267657e-005,-2.63071084507794e-009,3.4643702571321e-005,-2.04719591631947e-007,2.63071084507794e-009,2.02088890831333e-007,4.46718185662721e-012,-3.97864212048344e-012,-4.88539203800034e-013,3.48457894195743e-005,3.97864212048344e-012,-3.48457914661829e-005,-3.4643702571321e-005,4.88539203800034e-013,3.46437071481818e-005,-2.02088890831333e-007,3.48457914661829e-005,-3.46437071481818e-005
1500, -4.01760717723057e-005,-4.01718501988988e-005,4.01718508386657e-005,-1.50049667030358e-014,4.01718501988988e-005,4.47883188433672e-009,-4.01763320384528e-005,-4.01718508386657e-005,-4.21870938018397e-009,4.0176077687712e-005,-4.47883188433672e-009,4.21870938018397e-009,2.60121416892749e-010,1.50049667030358e-014,8.98560741500343e-015,-2.39905806202451e-014,4.01763320384528e-005,-8.98560741500343e-015,-4.01763312797958e-005,-4.0176077687712e-005,2.39905806202451e-014,4.01760717633201e-005,-2.60121416892749e-010,4.01763312797958e-005,-4.01760717633201e-005
2000, -4.08317273350188e-005,-4.08316025422724e-005,4.08315891595212e-005,-1.09623482622221e-017,4.08316025422724e-005,1.28109059005236e-010,-4.08317219370883e-005,-4.08315891595212e-005,-1.27903162221826e-010,4.08317257137475e-005,-1.28109059005236e-010,1.27903162221826e-010,2.05876742122501e-013,1.09623482622221e-017,2.4957918987687e-013,-2.49590058270896e-013,4.08317219370883e-005,-2.4957918987687e-013,-4.08317261951787e-005,-4.08317257137475e-005,2.49590058270896e-013,4.08317270854396e-005,-2.05876742122501e-013,4.08317261951787e-005,-4.08317270854396e-005
2500, -4.10196615947173e-005,-4.10196169747958e-005,4.10196254140794e-005,-2.35571073954844e-019,4.10196169747958e-005,4.20342058726279e-011,-4.10196611849097e-005,-4.10196254140794e-005,-4.17756781870958e-011,4.10196510122989e-005,-4.20342058726279e-011,4.17756781870958e-011,2.58540803886946e-013,2.35571073954844e-019,1.48219881418947e-012,-1.48219884654491e-012,4.10196611849097e-005,-1.48219881418947e-012,-4.10196594149245e-005,-4.10196510122989e-005,1.48219884654491e-012,4.10196601125185e-005,-2.58540803886946e-013,4.10196594149245e-005,-4.10196601125185e-005
3000, -5.37717805068075e-005,-5.37717644777351e-005,5.37717631870342e-005,-1.05414520792654e-013,5.37717644777351e-005,1.83879399692498e-011,-5.37717785692391e-005,-5.37717631870342e-005,-1.83555089484197e-011,5.37717749063098e-005,-1.83879399692498e-011,1.83555089484197e-011,3.24290667870392e-014,1.05414520792654e-013,2.42898877932843e-005,-2.42898884432819e-005,5.37717785692391e-005,-2.42898877932843e-005,-2.94818901475646e-005,-5.37717749063098e-005,2.42898884432819e-005,2.94818927135232e-005,-3.24290667870392e-014,2.94818901475646e-005,-2.94818927135232e-005
3500, -7.58366462351748e-005,-7.58365799264272e-005,7.58365713280195e-005,-6.29226104305526e-013,7.58365799264272e-005,6.42846548987009e-011,-7.58366434782898e-005,-7.58365713280195e-005,-6.42531448673684e-011,7.58366436854074e-005,-6.42846548987009e-011,6.42531448673684e-011,3.15043769442382e-014,6.29226104305526e-013,6.3032585086929e-005,-6.30325817602668e-005,7.58366434782898e-005,-6.3032585086929e-005,-1.28040618385626e-005,-7.58366436854074e-005,6.30325817602668e-005,1.28040611482458e-005,-3.15043769442382e-014,1.28040618385626e-005,-1.28040611482458e-005
4000, -7.68846816675558e-005,-7.68846857498596e-005,7.68846708420508e-005,-2.07684927966309e-015,7.68846857498596e-005,1.02806447666821e-011,-7.68846833250033e-005,-7.68846708420508e-005,-1.02457632927533e-011,7.68846982333943e-005,-1.02806447666821e-011,1.02457632927533e-011,3.48789560677273e-014,2.07684927966309e-015,6.39036729871264e-005,-6.39036733181291e-005,7.68846833250033e-005,-6.39036729871264e-005,-1.29810105349967e-005,-7.68846982333943e-005,6.39036733181291e-005,1.29810086804295e-005,-3.48789560677273e-014,1.29810105349967e-005,-1.29810086804295e-005
4500, -7.88938940417383e-005,-7.88938199345022e-005,7.88938045189678e-005,-1.36896019510425e-017,7.88938199345022e-005,7.30798226206705e-011,-7.88938992682039e-005,-7.88938045189678e-005,-7.24828436241789e-011,7.88938937715505e-005,-7.30798226206705e-011,7.24828436241789e-011,5.96972925951975e-013,1.36896019510425e-017,6.53718451205199e-005,-6.53718500148284e-005,7.88938992682039e-005,-6.53718451205199e-005,-1.35220477332087e-005,-7.88938937715505e-005,6.53718500148284e-005,1.35220489212184e-005,-5.96972925951975e-013,1.35220477332087e-005,-1.35220489212184e-005
