0, 6.92430896494415e-005,-1.57326383193671e-005,-1.80209144736728e-005,4.68752215989815e-005,-1.31216622303729e-005,1.57326383193671e-005,3.93422095627986e-005,-5.50748441286045e-005,1.80209144736728e-005,0.000104840883178155,-0.000122861802077868,-4.68752215989815e-005,-2.74046791635067e-005,-3.66321836478103e-005,0.000110912078668057,-3.93422095627986e-005,2.74046791635067e-005,1.19375282063358e-005,-0.000104840883178155,3.66321836478103e-005,6.82086964121401e-005,1.31216622303729e-005,1.46396196223119e-005,2.22278565068883e-005,-4.99891445262832e-005,5.50748441286045e-005,-1.46396196223119e-005,-4.04352239208956e-005,0.000122861802077868,-2.22278565068883e-005,-0.000100633939935697,-0.000110912078668057,4.99891445262832e-005,2.84976962061395e-005,3.24252406346308e-005,-1.19375282063358e-005,4.04352239208956e-005,-2.84976962061395e-005,-6.82086964121401e-005,0.000100633939935697,-3.24252406346308e-005, 0.000191058308382876, -5.46530971415191e-005, -4.31373158284514e-005 
500, -0.000358159860412636,-4.70421551641329e-007,-2.25583397492144e-007,1.25862120569975e-005,-1.1890208045803e-005,4.70421551641329e-007,1.63212592854694e-005,-1.67916810412152e-005,2.25583397492144e-007,4.2660204937387e-005,-4.28857854221117e-005,-1.25862120569975e-005,4.7102235298992e-007,6.8912531664144e-007,1.14260636095024e-005,-1.63212592854694e-005,-4.7102235298992e-007,1.67922822028376e-005,-4.2660204937387e-005,-6.8912531664144e-007,4.33493223908261e-005,1.1890208045803e-005,5.92560067890724e-006,1.35855223906816e-005,-3.14013289920047e-005,1.67916810412152e-005,-5.92560067890724e-006,-1.08660815678201e-005,4.28857854221117e-005,-1.35855223906816e-005,-2.93002656224016e-005,-1.14260636095024e-005,3.14013289920047e-005,-5.92620061378748e-006,-1.40490662943843e-005,-1.67922822028376e-005,1.08660815678201e-005,5.92620061378748e-006,-4.33493223908261e-005,2.93002656224016e-005,1.40490662943843e-005, 7.15676761822265e-005, 4.63543903702674e-007, 5.99934880240468e-010 
1000, -5.30729178842846e-006,2.00394433995595e-006,2.9912487318295e-006,1.17058203463327e-005,-1.67010120837433e-005,-2.00394433995595e-006,1.17747129807002e-005,-9.77076887778575e-006,-2.9912487318295e-006,2.84189316435288e-005,-2.54276809831526e-005,-1.17058203463327e-005,-1.12813146470177e-006,-8.35280653146715e-007,1.36692311489415e-005,-1.17747129807002e-005,1.12813146470177e-006,1.06465814151634e-005,-2.84189316435288e-005,8.35280653146715e-007,2.75836504842747e-005,1.67010120837433e-005,1.06011954838383e-006,2.06392849343635e-006,-1.98250615501138e-005,9.77076887778575e-006,-1.06011954838383e-006,-8.71064849802995e-006,2.54276809831526e-005,-2.06392849343635e-006,-2.33637522470079e-005,-1.36692311489415e-005,1.98250615501138e-005,-1.93593366950516e-006,-4.21989720758047e-006,-1.06465814151634e-005,8.71064849802995e-006,1.93593366950516e-006,-2.75836504842747e-005,2.33637522470079e-005,4.21989720758047e-006, 5.18994622951516e-005, 2.15596871414412e-006, 8.75814121121328e-007 
1500, -0.000182204706959996,2.46420294996299e-005,6.70522942938531e-005,2.56571410178181e-006,-9.42600164691949e-005,-2.46420294996299e-005,2.48459357236259e-005,-2.03908884823724e-007,-6.70522942938531e-005,6.76065153978594e-005,-5.54235376693049e-007,-2.56571410178181e-006,1.34500603930776e-007,1.36997227404251e-007,2.29421602498446e-006,-2.48459357236259e-005,-1.34500603930776e-007,2.49804382919874e-005,-6.76065153978594e-005,-1.36997227404251e-007,6.7743527055382e-005,9.42600164691949e-005,-1.06078370674527e-005,-2.87993296467302e-005,-5.48528599310396e-005,2.03908884823724e-007,1.06078370674527e-005,-1.08117475996246e-005,5.54235376693049e-007,2.87993296467302e-005,-2.9353572581146e-005,-2.29421602498446e-006,5.48528599310396e-005,-1.41686887422919e-005,-3.83899524209204e-005,-2.49804382919874e-005,1.08117475996246e-005,1.41686887422919e-005,-6.7743527055382e-005,2.9353572581146e-005,3.83899524209204e-005, 9.50181801118101e-005, 6.71892820676506e-005, 2.47765258097447e-005 
2000, -7.66180855826206e-005,1.04087738755738e-005,2.81954437922172e-005,4.52851184307949e-007,-3.90570676066054e-005,-1.04087738755738e-005,1.04178805748738e-005,-9.10664608388909e-009,-2.81954437922172e-005,2.82201971742647e-005,-2.47536824621795e-008,-4.52851184307949e-007,-1.25518464352777e-007,-1.26185872507441e-007,7.04555506785462e-007,-1.04178805748738e-005,1.25518464352777e-007,1.02923618624243e-005,-2.82201971742647e-005,1.26185872507441e-007,2.80940119457e-005,3.90570676066054e-005,-1.30512091038087e-006,-3.55430320004564e-006,-3.41976478506084e-005,9.10664608388909e-009,1.30512091038087e-006,-1.31422728454476e-006,2.47536824621795e-008,3.55430320004564e-006,-3.57905501578839e-006,-7.04555506785462e-007,3.41976478506084e-005,-8.97813489261631e-006,-2.45149570900042e-005,-1.02923618624243e-005,1.31422728454476e-006,8.97813489261631e-006,-2.80940119457e-005,3.57905501578839e-006,2.45149570900042e-005, 3.90909301509416e-005, 2.80692602900498e-005, 1.02832558029972e-005 
2500, -0.000211932365135101,2.86954235706739e-005,7.79593344646866e-005,1.42221219829076e-007,-0.000106797027347283,-2.86954235706739e-005,2.86958895919076e-005,-4.66113546051729e-010,-7.79593344646866e-005,7.79606140397372e-005,-1.26704141566019e-009,-1.42221219829076e-007,-6.8581055052483e-008,-6.86776274408062e-008,2.79479923682867e-007,-2.86958895919076e-005,6.8581055052483e-008,2.86273105486862e-005,-7.79606140397372e-005,6.86776274408062e-008,7.78919310578996e-005,0.000106797027347283,-2.35962523705706e-006,-6.41696641427449e-006,-9.80203905126269e-005,4.66113546051729e-010,2.35962523705706e-006,-2.36009183873277e-006,1.26704141566019e-009,6.41696641427449e-006,-6.41823259478269e-006,-2.79479923682867e-007,9.80203905126269e-005,-2.62672179611944e-005,-7.14736914690119e-005,-2.86273105486862e-005,2.36009183873277e-006,2.62672179611944e-005,-7.78919310578996e-005,6.41823259478269e-006,7.14736914690119e-005, 0.000106798714946142, 7.78906578832864e-005, 2.86268431982514e-005 
3000, -8.87626764916103e-005,1.32949507820161e-005,3.42385582085864e-005,1.45197607939106e-007,-4.76786940276082e-005,-1.32949507820161e-005,1.32954769659039e-005,-5.29481159868169e-010,-3.42385582085864e-005,3.42400019213803e-005,-1.45218625009944e-009,-1.45197607939106e-007,-5.08649545889418e-007,-5.49589027954789e-007,1.20343611926768e-006,-1.32954769659039e-005,5.08649545889418e-007,1.27868363130268e-005,-3.42400019213803e-005,5.49589027954789e-007,3.36904281161816e-005,4.76786940276082e-005,-6.08644939094244e-006,-1.81779211516209e-005,-2.34143274651979e-005,5.29481159868169e-010,6.08644939094244e-006,-6.08698029423008e-006,1.45218625009944e-009,1.81779211516209e-005,-1.81793749615731e-005,-1.20343611926768e-006,2.34143274651979e-005,-6.69984863073278e-006,-1.55110389819058e-005,-1.27868363130268e-005,6.08698029423008e-006,6.69984863073278e-006,-3.36904281161816e-005,1.81793749615731e-005,1.55110389819058e-005, 4.76806827210011e-005, 3.36889601335267e-005, 1.27862980216752e-005 
3500, -0.00021538400801605,3.06843426345374e-005,7.88501532228385e-005,1.65049332047343e-007,-0.000109699516747063,-3.06843426345374e-005,3.06845713093629e-005,-2.31857033074707e-010,-7.88501532228385e-005,7.88507844055425e-005,-6.30966769585103e-010,-1.65049332047343e-007,-7.33733138703103e-006,-7.93771006710457e-006,1.54400913970076e-005,-3.06845713093629e-005,7.33733138703103e-006,2.33472406591478e-005,-7.88507844055425e-005,7.93771006710457e-006,7.09130624180899e-005,0.000109699516747063,-1.26902661524578e-005,-3.628192517889e-005,-6.07273358832342e-005,2.31857033074707e-010,1.26902661524578e-005,-1.26904968513524e-005,6.30966769585103e-010,3.628192517889e-005,-3.62825633897361e-005,-1.54400913970076e-005,6.07273358832342e-005,-1.06567432730066e-005,-3.46305029658963e-005,-2.33472406591478e-005,1.26904968513524e-005,1.06567432730066e-005,-7.09130624180899e-005,3.62825633897361e-005,3.46305029658963e-005, 0.000109700396124323, 7.09124281447863e-005, 2.33470094254644e-005 
4000, -4.1982561194367e-005,1.12456116073617e-005,2.59896360278178e-005,2.47493950778776e-006,-3.97102101155775e-005,-1.12456116073617e-005,1.12456704395465e-005,-5.79724509229521e-011,-2.59896360278178e-005,2.59897974753893e-005,-1.59328982222368e-010,-2.47493950778776e-006,-1.1631865486491e-005,-2.19627415164451e-005,3.60695465132279e-005,-1.12456704395465e-005,1.1631865486491e-005,-3.86194391450079e-007,-2.59897974753893e-005,2.19627415164451e-005,4.02705602995792e-006,3.97102101155775e-005,-2.61893126217162e-006,-9.17747959335485e-006,-2.79137806684982e-005,5.79724509229521e-011,2.61893126217162e-006,-2.61899052810061e-006,1.59328982222368e-010,9.17747959335485e-006,-9.17763663924442e-006,-3.60695465132279e-005,2.79137806684982e-005,3.00518490993426e-006,5.15058035924205e-006,3.86194391450079e-007,2.61899052810061e-006,-3.00518490993426e-006,-4.02705602995792e-006,9.17763663924442e-006,-5.15058035924205e-006, 3.97104078358432e-005, 4.0268992341128e-006, -3.86253647762642e-007 
4500, -7.95110314871287,6.63233217205204e-006,1.74829383198146e-005,1.04335669417398e-006,-2.51586270911147e-005,-6.63233217205204e-006,6.63234755308419e-006,-1.54098616155645e-011,-1.74829383198146e-005,1.74829813844546e-005,-4.26169510373306e-011,-1.04335669417398e-006,-6.63235154042547e-006,-8.05919484313649e-006,1.57349033311841e-005,-6.63234755308419e-006,6.63235154042547e-006,-4.53674193345984e-012,-1.74829813844546e-005,8.05919484313649e-006,9.4237885918448e-006,2.51586270911147e-005,-4.673379852397e-006,-1.33689806287519e-005,-7.11627459421823e-006,1.54098616155645e-011,4.673379852397e-006,-4.67338635944068e-006,4.26169510373306e-011,1.33689806287519e-005,-1.33690219522273e-005,-1.57349033311841e-005,7.11627459421823e-006,4.67339102052966e-006,3.94523796094606e-006,4.53674193345984e-012,4.67338635944068e-006,-4.67339102052966e-006,-9.4237885918448e-006,1.33690219522273e-005,-3.94523796094606e-006, 2.51586829058862e-005, 9.42374266780585e-006, -1.11681326621545e-011 
